transacao_id;produto_id;usuario_id;data_hora_transacao;quantidade;valor_unitario_pre_venda;valor_unitario_pos_venda;valor_total_pos_venda;valor_total_pre_venda;discount_value
13197737;16142;4785;2018/06/20 09:17;2;111,99;111,99;223,98;223,98;0,00
13197737;27491;4785;2018/06/20 09:17;2;15,39;13,75;27,51;30,78;3,27
13197737;72425;4785;2018/06/20 09:17;1;16,08;16,08;16,08;16,08;0,00
13197737;72426;4785;2018/06/20 09:17;1;16,22;16,22;16,22;16,22;0,00
13197737;74216;4785;2018/06/20 09:17;1;20,99;20,99;20,99;20,99;0,00
13197737;74218;4785;2018/06/20 09:17;1;8,93;8,93;8,93;8,93;0,00
13197911;15477;13080;2018/06/20 09:29;2;14,84;14,84;29,68;29,68;0,00
13197911;24959;13080;2018/06/20 09:29;1;20,96;20,96;20,96;20,96;0,00
13197911;24959;13080;2018/06/20 09:29;1;32,09;20,96;20,96;32,09;11,13
13197911;25442;13080;2018/06/20 09:29;1;15,75;15,75;15,75;15,75;0,00
13197911;25442;13080;2018/06/20 09:29;1;16,35;15,75;15,75;16,35;0,60
13197911;29755;13080;2018/06/20 09:29;1;21,02;21,02;21,02;21,02;0,00
13197911;71388;13080;2018/06/20 09:29;1;39,81;39,81;39,81;39,81;0,00
13197911;71429;13080;2018/06/20 09:29;1;43,39;43,39;43,39;43,39;0,00
13197911;72796;13080;2018/06/20 09:29;3;52,16;52,16;156,49;156,49;0,00
13198092;15440;15606;2018/06/20 09:40;1;11,96;11,96;11,96;11,96;0,00
13198092;17668;15606;2018/06/20 09:40;1;15,39;15,38;15,38;15,39;0,01
13198092;29794;15606;2018/06/20 09:40;3;15,39;15,30;45,90;46,17;0,27
13198092;71387;15606;2018/06/20 09:40;1;40,67;40,67;40,67;40,67;0,00
13198092;72427;15606;2018/06/20 09:40;1;33,21;33,21;33,21;33,21;0,00
13198092;74216;15606;2018/06/20 09:40;1;20,99;20,99;20,99;20,99;0,00
13198186;14175;16395;2018/06/20 09:47;1;111,93;105,28;105,28;111,93;6,65
13198186;16454;16395;2018/06/20 09:47;1;0,00;0,00;0,00;0,00;0,00
13198186;17840;16395;2018/06/20 09:47;1;28,69;28,69;28,69;28,69;0,00
13198186;18158;16395;2018/06/20 09:47;1;28,69;28,69;28,69;28,69;0,00
13198186;21153;16395;2018/06/20 09:47;1;40,00;40,00;40,00;40,00;0,00
13198186;21153;16395;2018/06/20 09:47;1;50,76;40,00;40,00;50,76;10,77
13198186;22494;16395;2018/06/20 09:47;4;14,54;14,54;58,14;58,14;0,00
13198186;24377;16395;2018/06/20 09:47;1;39,64;39,64;39,64;39,64;0,00
13198186;24377;16395;2018/06/20 09:47;1;39,64;39,64;39,64;39,64;0,00
13198186;24377;16395;2018/06/20 09:47;1;67,94;39,64;39,64;67,94;28,30
13198186;70136;16395;2018/06/20 09:47;1;12,99;12,99;12,99;12,99;0,00
13198186;70460;16395;2018/06/20 09:47;1;17,49;15,67;15,67;17,49;1,82
13198186;70461;16395;2018/06/20 09:47;1;22,39;21,11;21,11;22,39;1,28
13198186;70462;16395;2018/06/20 09:47;1;33,59;29,86;29,86;33,59;3,73
13198186;70463;16395;2018/06/20 09:47;1;22,39;18,40;18,40;22,39;3,99
13198186;70716;16395;2018/06/20 09:47;4;93,97;93,97;375,86;375,86;0,00
13198186;72318;16395;2018/06/20 09:47;1;17,71;17,71;17,71;17,71;0,00
13198349;15431;18496;2018/06/20 09:56;1;16,09;16,09;16,09;16,09;0,00
13198349;16454;18496;2018/06/20 09:56;1;0,00;0,00;0,00;0,00;0,00
13198349;20712;18496;2018/06/20 09:56;1;10,49;10,49;10,49;10,49;0,00
13198349;22641;18496;2018/06/20 09:56;1;34,99;30,98;30,98;34,99;4,01
13198349;22642;18496;2018/06/20 09:56;1;34,99;30,71;30,71;34,99;4,28
13198349;23932;18496;2018/06/20 09:56;1;27,99;27,48;27,48;27,99;0,51
13198349;24377;18496;2018/06/20 09:56;1;39,64;39,64;39,64;39,64;0,00
13198349;24377;18496;2018/06/20 09:56;1;39,64;39,64;39,64;39,64;0,00
13198349;24377;18496;2018/06/20 09:56;1;67,94;39,64;39,64;67,94;28,30
13198349;24958;18496;2018/06/20 09:56;1;6,55;6,55;6,55;6,55;0,00
13198349;24958;18496;2018/06/20 09:56;1;6,55;6,55;6,55;6,55;0,00
13198349;24958;18496;2018/06/20 09:56;1;6,55;6,55;6,55;6,55;0,00
13198349;25766;18496;2018/06/20 09:56;2;20,40;20,40;40,79;40,79;0,00
13198349;29689;18496;2018/06/20 09:56;1;39,47;39,47;39,47;39,47;0,00
13198349;71963;18496;2018/06/20 09:56;2;25,19;23,92;47,84;50,38;2,54
13198349;71973;18496;2018/06/20 09:56;1;40,21;40,21;40,21;40,21;0,00
13198424;16490;20854;2018/06/20 10:01;2;11,42;11,42;22,85;22,85;0,00
13198424;72362;20854;2018/06/20 10:01;2;28,32;28,32;56,64;56,64;0,00
13198474;15432;21491;2018/06/20 10:04;1;11,85;11,85;11,85;11,85;0,00
13198474;15436;21491;2018/06/20 10:04;1;11,68;11,68;11,68;11,68;0,00
13198474;15443;21491;2018/06/20 10:04;1;11,83;11,83;11,83;11,83;0,00
13198474;17668;21491;2018/06/20 10:04;1;15,39;15,38;15,38;15,39;0,01
13198474;18935;21491;2018/06/20 10:04;1;17,49;16,88;16,88;17,49;0,61
13198474;19097;21491;2018/06/20 10:04;1;20,99;16,49;16,49;20,99;4,50
13198474;25766;21491;2018/06/20 10:04;1;20,40;20,40;20,40;20,40;0,00
13198474;25911;21491;2018/06/20 10:04;1;12,17;12,17;12,17;12,17;0,00
13198474;25912;21491;2018/06/20 10:04;1;11,33;11,33;11,33;11,33;0,00
13198474;26787;21491;2018/06/20 10:04;1;39,51;39,51;39,51;39,51;0,00
13198474;29575;21491;2018/06/20 10:04;1;19,59;15,85;15,85;19,59;3,74
13198474;29693;21491;2018/06/20 10:04;1;39,74;39,74;39,74;39,74;0,00
13198474;29755;21491;2018/06/20 10:04;1;21,02;21,02;21,02;21,02;0,00
13198474;72427;21491;2018/06/20 10:04;1;33,21;33,21;33,21;33,21;0,00
13198474;74216;21491;2018/06/20 10:04;4;20,99;20,99;83,95;83,95;0,00
13198474;74218;21491;2018/06/20 10:04;4;8,93;8,93;35,73;35,73;0,00
13198596;21186;23573;2018/06/20 10:11;2;34,51;34,51;69,03;69,03;0,00
13198596;23937;23573;2018/06/20 10:11;1;18,19;15,50;15,50;18,19;2,69
13198596;24959;23573;2018/06/20 10:11;1;20,96;20,96;20,96;20,96;0,00
13198596;24959;23573;2018/06/20 10:11;1;32,09;20,96;20,96;32,09;11,13
13198596;29754;23573;2018/06/20 10:11;1;22,13;22,13;22,13;22,13;0,00
13198596;29755;23573;2018/06/20 10:11;4;21,02;21,02;84,09;84,09;0,00
13198596;74218;23573;2018/06/20 10:11;1;10,49;8,93;8,93;10,49;1,56
13198766;19084;29865;2018/06/20 10:19;1;17,50;17,50;17,50;17,50;0,00
13198766;24377;29865;2018/06/20 10:19;1;39,64;39,64;39,64;39,64;0,00
13198766;24377;29865;2018/06/20 10:19;1;39,64;39,64;39,64;39,64;0,00
13198766;24377;29865;2018/06/20 10:19;1;67,94;39,64;39,64;67,94;28,30
13198766;27290;29865;2018/06/20 10:19;1;18,19;18,19;18,19;18,19;0,00
13198766;29691;29865;2018/06/20 10:19;1;38,22;38,22;38,22;38,22;0,00
13198766;29692;29865;2018/06/20 10:19;1;39,49;39,49;39,49;39,49;0,00
13198766;74216;29865;2018/06/20 10:19;1;20,99;20,99;20,99;20,99;0,00
13198766;74218;29865;2018/06/20 10:19;1;8,93;8,93;8,93;8,93;0,00
13198911;22494;37849;2018/06/20 10:26;2;14,54;14,54;29,07;29,07;0,00
13199060;24850;40440;2018/06/20 10:34;1;76,93;64,98;64,98;76,93;11,95
13199060;74046;40440;2018/06/20 10:34;1;25,19;25,19;25,19;25,19;0,00
13199060;74216;40440;2018/06/20 10:34;1;20,99;20,99;20,99;20,99;0,00
13199060;74218;40440;2018/06/20 10:34;1;8,93;8,93;8,93;8,93;0,00
13199379;21186;41038;2018/06/20 10:48;2;34,51;34,51;69,03;69,03;0,00
13199379;70719;41038;2018/06/20 10:48;1;33,59;33,59;33,59;33,59;0,00
13199379;72656;41038;2018/06/20 10:48;2;34,35;34,35;68,70;68,70;0,00
13202273;19102;47124;2018/06/20 13:16;1;20,99;16,31;16,31;20,99;4,68
13202273;29755;47124;2018/06/20 13:16;2;21,02;21,02;42,04;42,04;0,00
13202273;70914;47124;2018/06/20 13:16;2;23,88;23,88;47,77;47,77;0,00
13202273;71962;47124;2018/06/20 13:16;2;25,19;23,98;47,97;50,38;2,41
13202273;71963;47124;2018/06/20 13:16;2;25,19;23,92;47,84;50,38;2,54
13202403;15440;49791;2018/06/20 13:22;1;11,96;11,96;11,96;11,96;0,00
13202403;20753;49791;2018/06/20 13:22;1;69,93;63,00;63,00;69,93;6,93
13202403;21787;49791;2018/06/20 13:22;1;21,00;21,00;21,00;21,00;0,00
13202403;21787;49791;2018/06/20 13:22;1;24,28;21,00;21,00;24,28;3,29
13202403;24043;49791;2018/06/20 13:22;1;15,43;15,43;15,43;15,43;0,00
13202403;24959;49791;2018/06/20 13:22;1;20,96;20,96;20,96;20,96;0,00
13202403;24959;49791;2018/06/20 13:22;1;32,09;20,96;20,96;32,09;11,13
13202403;29690;49791;2018/06/20 13:22;1;39,02;39,02;39,02;39,02;0,00
13202403;29755;49791;2018/06/20 13:22;2;21,02;21,02;42,04;42,04;0,00
13202403;70699;49791;2018/06/20 13:22;1;34,99;30,81;30,81;34,99;4,18
13202403;70928;49791;2018/06/20 13:22;1;48,99;48,99;48,99;48,99;0,00
13202403;71327;49791;2018/06/20 13:22;1;48,99;44,46;44,46;48,99;4,53
13202403;71388;49791;2018/06/20 13:22;1;39,81;39,81;39,81;39,81;0,00
13202403;72424;49791;2018/06/20 13:22;1;16,00;16,00;16,00;16,00;0,00
13202403;72533;49791;2018/06/20 13:22;1;24,49;20,23;20,23;24,49;4,26
13202403;74216;49791;2018/06/20 13:22;1;20,99;20,99;20,99;20,99;0,00
13202403;74218;49791;2018/06/20 13:22;1;8,93;8,93;8,93;8,93;0,00
13202580;15448;50273;2018/06/20 13:30;1;12,03;12,03;12,03;12,03;0,00
13202580;29755;50273;2018/06/20 13:30;5;21,02;21,02;105,11;105,11;0,00
13202580;29756;50273;2018/06/20 13:30;2;22,15;22,15;44,30;44,30;0,00
13202580;72533;50273;2018/06/20 13:30;1;24,49;20,23;20,23;24,49;4,26
13202712;16488;51236;2018/06/20 13:36;1;11,34;11,34;11,34;11,34;0,00
13202712;16489;51236;2018/06/20 13:36;1;11,32;11,32;11,32;11,32;0,00
13202712;16490;51236;2018/06/20 13:36;1;11,42;11,42;11,42;11,42;0,00
13202712;16557;51236;2018/06/20 13:36;2;11,10;11,10;22,19;22,19;0,00
13202712;25766;51236;2018/06/20 13:36;1;20,40;20,40;20,40;20,40;0,00
13202712;25912;51236;2018/06/20 13:36;1;11,33;11,33;11,33;11,33;0,00
13202712;29792;51236;2018/06/20 13:36;1;27,99;20,85;20,85;27,99;7,14
13202712;39153;51236;2018/06/20 13:36;1;15,39;15,39;15,39;15,39;0,00
13202712;42142;51236;2018/06/20 13:36;1;34,29;34,29;34,29;34,29;0,00
13202712;70982;51236;2018/06/20 13:36;1;13,29;13,29;13,29;13,29;0,00
13202831;15434;55359;2018/06/20 13:43;1;11,72;11,72;11,72;11,72;0,00
13202831;15436;55359;2018/06/20 13:43;1;11,68;11,68;11,68;11,68;0,00
13202831;19084;55359;2018/06/20 13:43;1;17,50;17,50;17,50;17,50;0,00
13202831;25912;55359;2018/06/20 13:43;1;11,33;11,33;11,33;11,33;0,00
13202831;70460;55359;2018/06/20 13:43;1;17,49;15,67;15,67;17,49;1,82
13202831;70461;55359;2018/06/20 13:43;1;22,39;21,11;21,11;22,39;1,28
13202831;74216;55359;2018/06/20 13:43;2;20,99;20,99;41,97;41,97;0,00
13202831;74218;55359;2018/06/20 13:43;2;8,93;8,93;17,87;17,87;0,00
13203025;14641;57307;2018/06/20 13:51;1;1,99;1,99;1,99;1,99;0,00
13203025;15432;57307;2018/06/20 13:51;1;11,85;11,85;11,85;11,85;0,00
13203025;15436;57307;2018/06/20 13:51;1;11,68;11,68;11,68;11,68;0,00
13203025;15440;57307;2018/06/20 13:51;3;11,96;11,96;35,87;35,87;0,00
13203025;15443;57307;2018/06/20 13:51;2;11,83;11,83;23,66;23,66;0,00
13203025;15633;57307;2018/06/20 13:51;1;1,99;1,99;1,99;1,99;0,00
13203025;16227;57307;2018/06/20 13:51;1;11,30;11,30;11,30;11,30;0,00
13203025;17552;57307;2018/06/20 13:51;1;1,99;1,59;1,59;1,99;0,40
13203025;24005;57307;2018/06/20 13:51;1;24,49;23,51;23,51;24,49;0,98
13203025;24038;57307;2018/06/20 13:51;1;1,99;1,43;1,43;1,99;0,56
13203025;24377;57307;2018/06/20 13:51;1;39,64;39,64;39,64;39,64;0,00
13203025;24377;57307;2018/06/20 13:51;1;39,64;39,64;39,64;39,64;0,00
13203025;24377;57307;2018/06/20 13:51;1;67,94;39,64;39,64;67,94;28,30
13203025;24821;57307;2018/06/20 13:51;1;15,63;15,63;15,63;15,63;0,00
13203025;24958;57307;2018/06/20 13:51;1;6,55;6,55;6,55;6,55;0,00
13203025;24958;57307;2018/06/20 13:51;1;6,55;6,55;6,55;6,55;0,00
13203025;24958;57307;2018/06/20 13:51;1;6,55;6,55;6,55;6,55;0,00
13203025;24959;57307;2018/06/20 13:51;1;20,96;20,96;20,96;20,96;0,00
13203025;24959;57307;2018/06/20 13:51;1;32,09;20,96;20,96;32,09;11,13
13203025;24982;57307;2018/06/20 13:51;1;1,99;1,99;1,99;1,99;0,00
13203025;70573;57307;2018/06/20 13:51;1;11,19;10,19;10,19;11,19;1,00
13203025;70914;57307;2018/06/20 13:51;2;23,88;23,88;47,77;47,77;0,00
13203025;73698;57307;2018/06/20 13:51;1;20,99;20,99;20,99;20,99;0,00
13203184;22623;60093;2018/06/20 13:59;1;13,99;13,72;13,72;13,99;0,27
13203184;24959;60093;2018/06/20 13:59;1;20,96;20,96;20,96;20,96;0,00
13203184;24959;60093;2018/06/20 13:59;1;32,09;20,96;20,96;32,09;11,13
13203184;29756;60093;2018/06/20 13:59;1;22,15;22,15;22,15;22,15;0,00
13203184;29757;60093;2018/06/20 13:59;1;22,41;22,41;22,41;22,41;0,00
13203184;41802;60093;2018/06/20 13:59;1;115,49;115,49;115,49;115,49;0,00
13203184;70982;60093;2018/06/20 13:59;1;13,29;13,29;13,29;13,29;0,00
13203184;74218;60093;2018/06/20 13:59;1;10,49;8,93;8,93;10,49;1,56
13203289;22642;60738;2018/06/20 14:05;1;34,99;30,71;30,71;34,99;4,28
13203289;24973;60738;2018/06/20 14:05;1;20,96;20,96;20,96;20,96;0,00
13203289;24973;60738;2018/06/20 14:05;1;32,09;20,96;20,96;32,09;11,13
13203289;29687;60738;2018/06/20 14:05;1;42,66;42,66;42,66;42,66;0,00
13203289;29704;60738;2018/06/20 14:05;1;24,91;24,91;24,91;24,91;0,00
13203289;29755;60738;2018/06/20 14:05;1;21,02;21,02;21,02;21,02;0,00
13203289;39198;60738;2018/06/20 14:05;1;18,31;18,31;18,31;18,31;0,00
13203289;42143;60738;2018/06/20 14:05;1;34,29;34,29;34,29;34,29;0,00
13203289;42204;60738;2018/06/20 14:05;1;34,29;34,29;34,29;34,29;0,00
13203289;72656;60738;2018/06/20 14:05;2;34,35;34,35;68,70;68,70;0,00
13203289;73226;60738;2018/06/20 14:05;1;31,49;31,49;31,49;31,49;0,00
13203289;91432;60738;2018/06/20 14:05;1;15,39;15,39;15,39;15,39;0,00
13203488;21153;61266;2018/06/20 14:13;1;40,00;40,00;40,00;40,00;0,00
13203488;21153;61266;2018/06/20 14:13;1;50,76;40,00;40,00;50,76;10,77
13203488;28999;61266;2018/06/20 14:13;1;21,05;21,05;21,05;21,05;0,00
13203488;70580;61266;2018/06/20 14:13;1;41,99;41,99;41,99;41,99;0,00
13207024;15271;67125;2018/06/20 16:46;1;48,93;48,67;48,67;48,93;0,26
13207024;15432;67125;2018/06/20 16:46;1;11,85;11,85;11,85;11,85;0,00
13207024;15434;67125;2018/06/20 16:46;1;11,72;11,72;11,72;11,72;0,00
13207024;15436;67125;2018/06/20 16:46;1;11,68;11,68;11,68;11,68;0,00
13207024;15437;67125;2018/06/20 16:46;1;11,88;11,88;11,88;11,88;0,00
13207024;15440;67125;2018/06/20 16:46;1;11,96;11,96;11,96;11,96;0,00
13207024;15443;67125;2018/06/20 16:46;1;11,83;11,83;11,83;11,83;0,00
13207024;15448;67125;2018/06/20 16:46;1;12,03;12,03;12,03;12,03;0,00
13207024;16454;67125;2018/06/20 16:46;3;0,00;0,00;0,00;0,00;0,00
13207024;20710;67125;2018/06/20 16:46;1;11,43;11,43;11,43;11,43;0,00
13207024;21186;67125;2018/06/20 16:46;1;34,51;34,51;34,51;34,51;0,00
13207024;21787;67125;2018/06/20 16:46;1;21,00;21,00;21,00;21,00;0,00
13207024;21787;67125;2018/06/20 16:46;1;24,28;21,00;21,00;24,28;3,29
13207024;24013;67125;2018/06/20 16:46;2;55,99;54,40;108,81;111,98;3,17
13207024;24719;67125;2018/06/20 16:46;1;34,99;34,99;34,99;34,99;0,00
13207024;24959;67125;2018/06/20 16:46;3;20,96;20,96;62,88;62,88;0,00
13207024;24959;67125;2018/06/20 16:46;3;32,09;20,96;62,88;96,27;33,39
13207024;25766;67125;2018/06/20 16:46;2;20,40;20,40;40,79;40,79;0,00
13207024;25910;67125;2018/06/20 16:46;1;11,75;11,75;11,75;11,75;0,00
13207024;25912;67125;2018/06/20 16:46;1;11,33;11,33;11,33;11,33;0,00
13207024;27108;67125;2018/06/20 16:46;1;27,99;27,99;27,99;27,99;0,00
13207024;29753;67125;2018/06/20 16:46;1;41,99;37,86;37,86;41,99;4,13
13207024;29755;67125;2018/06/20 16:46;5;21,02;21,02;105,11;105,11;0,00
13207024;29756;67125;2018/06/20 16:46;1;22,15;22,15;22,15;22,15;0,00
13207024;29757;67125;2018/06/20 16:46;1;22,41;22,41;22,41;22,41;0,00
13207024;39198;67125;2018/06/20 16:46;1;18,31;18,31;18,31;18,31;0,00
