produto_id;nome;genero;marca;ativo;categoria;sub_categoria
70580;SOLAR_70580;F;Brand 3;1;Categoria 15;Subcategoria 62
70074;MAQUIAGEM_70074;F;Brand 2;1;Categoria 11;Subcategoria 45
70072;MAQUIAGEM_70072;F;Brand 2;1;Categoria 11;Subcategoria 45
70073;MAQUIAGEM_70073;F;Brand 2;1;Categoria 11;Subcategoria 45
22493;DESODORANTES_22493;F;Brand 3;1;Categoria 9;Subcategoria 39
20528;DESODORANTES_20528;F;Brand 3;1;Categoria 9;Subcategoria 40
72263;CUIDADOS COM A PELE_72263;F;Brand 3;1;Categoria 7;Subcategoria 30
24555;PERFUMARIA_24555;F;Brand 1;1;Categoria 13;Subcategoria 55
24004;CUIDADOS COM A PELE_24004;F;Brand 3;1;Categoria 7;Subcategoria 30
73616;CUIDADOS COM A PELE_73616;F;Brand 3;1;Categoria 7;Subcategoria 30
26657;PERFUMARIA_26657;F;Brand 1;1;Categoria 13;Subcategoria 55
26656;PERFUMARIA_26656;F;Brand 1;1;Categoria 13;Subcategoria 55
29325;PERFUMARIA_29325;F;Brand 1;1;Categoria 13;Subcategoria 55
22496;DESODORANTES_22496;F;Brand 3;1;Categoria 9;Subcategoria 39
72933;PERFUMARIA_72933;F;Brand 1;1;Categoria 13;Subcategoria 55
72734;CUIDADOS COM A PELE_72734;F;Brand 3;1;Categoria 7;Subcategoria 30
72738;CUIDADOS COM A PELE_72738;F;Brand 3;1;Categoria 7;Subcategoria 30
70608;CUIDADOS COM A PELE_70608;F;Brand 3;1;Categoria 7;Subcategoria 30
72739;CUIDADOS COM A PELE_72739;F;Brand 3;1;Categoria 7;Subcategoria 30
29834;CUIDADOS COM A PELE_29834;F;Brand 3;1;Categoria 7;Subcategoria 30
70227;SABONETE_70227;F;Brand 2;1;Categoria 14;Subcategoria 58
72835;MAQUIAGEM_72835;F;Brand 2;1;Categoria 11;Subcategoria 46
27759;PERFUMARIA_27759;F;Brand 1;1;Categoria 13;Subcategoria 55
29825;CUIDADOS COM A PELE_29825;F;Brand 3;1;Categoria 7;Subcategoria 30
22531;SABONETE_22531;F;Brand 2;1;Categoria 14;Subcategoria 59
72799;SOLAR_72799;F;Brand 3;1;Categoria 15;Subcategoria 63
72800;SOLAR_72800;F;Brand 3;1;Categoria 15;Subcategoria 64
72798;SOLAR_72798;F;Brand 3;1;Categoria 15;Subcategoria 65
72797;SOLAR_72797;F;Brand 3;1;Categoria 15;Subcategoria 65
72894;SOLAR_72894;F;Brand 3;1;Categoria 15;Subcategoria 62
29672;PERFUMARIA_29672;F;Brand 1;1;Categoria 13;Subcategoria 56
17560;DESODORANTES_17560;F;Brand 3;1;Categoria 9;Subcategoria 39
22623;DESODORANTES_22623;F;Brand 3;1;Categoria 9;Subcategoria 39
17535;PERFUMARIA_17535;F;Brand 1;1;Categoria 13;Subcategoria 56
73857;PERFUMARIA_73857;F;Brand 1;1;Categoria 13;Subcategoria 56
24850;PERFUMARIA_24850;F;Brand 1;1;Categoria 13;Subcategoria 56
17762;CUIDADOS COM A BARBA_17762;F;Brand 2;1;Categoria 6;Subcategoria 27
23291;CUIDADOS COM A BARBA_23291;F;Brand 2;1;Categoria 6;Subcategoria 27
17761;CUIDADOS COM A BARBA_17761;F;Brand 2;1;Categoria 6;Subcategoria 28
23304;CUIDADOS COM A BARBA_23304;F;Brand 2;1;Categoria 6;Subcategoria 28
73372;SABONETE_73372;F;Brand 2;1;Categoria 14;Subcategoria 58
73368;DESODORANTES_73368;F;Brand 3;1;Categoria 9;Subcategoria 41
22319;PERFUMARIA_22319;F;Brand 1;1;Categoria 13;Subcategoria 55
73854;PERFUMARIA_73854;F;Brand 1;1;Categoria 13;Subcategoria 55
26922;PERFUMARIA_26922;F;Brand 1;1;Categoria 13;Subcategoria 55
22415;CUIDADOS COM A PELE_22415;F;Brand 3;1;Categoria 7;Subcategoria 30
73858;CUIDADOS COM A PELE_73858;F;Brand 3;1;Categoria 7;Subcategoria 30
73230;CUIDADOS COM A PELE_73230;F;Brand 3;1;Categoria 7;Subcategoria 30
29831;CUIDADOS COM A PELE_29831;F;Brand 3;1;Categoria 7;Subcategoria 30
73859;SABONETE_73859;F;Brand 2;1;Categoria 14;Subcategoria 59
24477;SABONETE_24477;F;Brand 2;1;Categoria 14;Subcategoria 58
73229;SABONETE_73229;F;Brand 2;1;Categoria 14;Subcategoria 58
71424;CUIDADOS COM A PELE_71424;F;Brand 3;1;Categoria 7;Subcategoria 30
17585;DESODORANTES_17585;F;Brand 3;1;Categoria 9;Subcategoria 39
15285;PERFUMARIA_15285;F;Brand 1;1;Categoria 13;Subcategoria 56
26695;PERFUMARIA_26695;F;Brand 1;1;Categoria 13;Subcategoria 56
20753;PERFUMARIA_20753;F;Brand 1;1;Categoria 13;Subcategoria 56
17856;CUIDADOS COM A BARBA_17856;F;Brand 2;1;Categoria 6;Subcategoria 27
17858;CUIDADOS COM A BARBA_17858;F;Brand 2;1;Categoria 6;Subcategoria 28
20730;SABONETE_20730;F;Brand 2;1;Categoria 14;Subcategoria 58
73373;SABONETE_73373;F;Brand 2;1;Categoria 14;Subcategoria 58
22495;DESODORANTES_22495;F;Brand 3;1;Categoria 9;Subcategoria 39
92068;CABELOS_92068;F;Brand 2;1;Categoria 4;Subcategoria 14
72432;CABELOS_72432;F;Brand 2;1;Categoria 4;Subcategoria 14
71595;CABELOS_71595;F;Brand 2;1;Categoria 4;Subcategoria 14
29684;SUPORTE  VENDA_29684;F;Brand 2;1;Categoria 16;Subcategoria 66
24198;SUPORTE  VENDA_24198;F;Brand 2;1;Categoria 16;Subcategoria 66
70817;SUPORTE  VENDA_70817;F;Brand 2;1;Categoria 16;Subcategoria 66
70816;SUPORTE  VENDA_70816;F;Brand 2;1;Categoria 16;Subcategoria 66
70815;SUPORTE  VENDA_70815;F;Brand 2;1;Categoria 16;Subcategoria 66
14641;SUPORTE  VENDA_14641;F;Brand 2;1;Categoria 16;Subcategoria 66
29361;SUPORTE  VENDA_29361;M;Brand 2;1;Categoria 16;Subcategoria 66
17552;SUPORTE  VENDA_17552;F;Brand 2;1;Categoria 16;Subcategoria 66
15633;SUPORTE  VENDA_15633;F;Brand 2;1;Categoria 16;Subcategoria 66
26763;SUPORTE  VENDA_26763;F;Brand 2;1;Categoria 16;Subcategoria 66
20810;SUPORTE  VENDA_20810;F;Brand 2;1;Categoria 16;Subcategoria 66
15641;SUPORTE  VENDA_15641;M;Brand 2;1;Categoria 16;Subcategoria 66
20823;SUPORTE  VENDA_20823;M;Brand 2;1;Categoria 16;Subcategoria 66
16175;LEOS PERFUMADOS_16175;F;Brand 3;1;Categoria 12;Subcategoria 53
72796;PERFUMARIA_72796;F;Brand 1;1;Categoria 13;Subcategoria 55
73143;CUIDADOS COM A PELE_73143;F;Brand 3;1;Categoria 7;Subcategoria 30
29518;CUIDADOS COM A PELE_29518;F;Brand 3;1;Categoria 7;Subcategoria 31
73227;GIFTS_73227;F;Brand 1;1;Categoria 10;Subcategoria 43
91095;GIFTS_91095;F;Brand 1;1;Categoria 10;Subcategoria 43
91096;GIFTS_91096;F;Brand 1;1;Categoria 10;Subcategoria 43
91099;GIFTS_91099;F;Brand 1;1;Categoria 10;Subcategoria 43
91097;GIFTS_91097;F;Brand 1;1;Categoria 10;Subcategoria 43
73741;GIFTS_73741;F;Brand 1;1;Categoria 10;Subcategoria 43
73891;GIFTS_73891;F;Brand 1;1;Categoria 10;Subcategoria 43
27627;GIFTS_27627;F;Brand 1;1;Categoria 10;Subcategoria 43
72561;SABONETE_72561;F;Brand 2;1;Categoria 14;Subcategoria 59
91496;GIFTS_91496;F;Brand 1;1;Categoria 10;Subcategoria 43
91098;GIFTS_91098;F;Brand 1;1;Categoria 10;Subcategoria 43
27276;CUIDADOS FACIAIS_27276;F;Brand 2;1;Categoria 8;Subcategoria 36
72855;GIFTS_72855;F;Brand 1;1;Categoria 10;Subcategoria 44
29482;CABELOS_29482;F;Brand 2;1;Categoria 4;Subcategoria 15
72384;CABELOS_72384;F;Brand 2;1;Categoria 4;Subcategoria 16
70605;CUIDADOS COM A PELE_70605;F;Brand 3;1;Categoria 7;Subcategoria 32
72385;CUIDADOS COM A PELE_72385;F;Brand 3;1;Categoria 7;Subcategoria 32
72100;CUIDADOS COM A PELE_72100;F;Brand 3;1;Categoria 7;Subcategoria 30
70929;CUIDADOS COM A PELE_70929;F;Brand 3;1;Categoria 7;Subcategoria 30
70928;CUIDADOS COM A PELE_70928;F;Brand 3;1;Categoria 7;Subcategoria 30
73692;CUIDADOS COM A PELE_73692;F;Brand 3;1;Categoria 7;Subcategoria 30
73389;CUIDADOS COM A PELE_73389;F;Brand 3;1;Categoria 7;Subcategoria 32
72411;SABONETE_72411;F;Brand 2;1;Categoria 14;Subcategoria 60
21186;PERFUMARIA_21186;F;Brand 1;1;Categoria 13;Subcategoria 55
72656;PERFUMARIA_72656;F;Brand 1;1;Categoria 13;Subcategoria 55
25921;PERFUMARIA_25921;F;Brand 1;1;Categoria 13;Subcategoria 55
